% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.521	1	1	53	2	1	28	2196	0	0
0.576	1	1	58	7	1	28	2196	0	0
0.631	1	1	64	2	1	28	2196	0	0
0.686	1	1	69	7	1	28	2196	0	0
0.741	1	1	75	2	1	28	2196	0	0
0.796	1	1	80	7	1	28	2196	0	0
0.797	1	1	80	8	1	28	2196	0	0
0.851	1	1	86	2	1	28	2196	0	0
0.852	1	1	86	3	1	28	2196	0	0
0.853	1	1	86	4	1	28	2196	0	0
0.906	1	1	91	7	1	28	2196	0	0
0.907	1	1	91	8	1	28	2196	0	0
0.908	1	1	91	9	1	28	2196	0	0
0.909	1	1	91	10	1	28	2196	0	0
0.961	1	1	97	2	1	28	2196	0	0
0.962	1	1	97	3	1	28	2196	0	0
0.963	1	1	97	4	1	28	2196	0	0
0.964	1	1	97	5	1	28	2196	0	0
0.965	1	1	97	6	1	28	2196	0	0
1.016	1	1	102	7	1	28	2196	0	0
1.017	1	1	102	8	1	28	2196	0	0
1.018	1	1	102	9	1	28	2196	0	0
1.019	1	1	102	10	1	28	2196	0	0
1.02	1	1	103	1	1	28	2196	0	0
1.021	1	1	103	2	1	28	2196	0	0
1.022	1	1	103	3	1	28	2196	0	0
1.023	1	1	103	4	1	28	2196	0	0
1.071	1	1	108	2	1	28	2196	0	0
1.072	1	1	108	3	1	28	2196	0	0
1.073	1	1	108	4	1	28	2196	0	0
1.074	1	1	108	5	1	28	2196	0	0
1.075	1	1	108	6	1	28	2196	0	0
1.076	1	1	108	7	1	28	2196	0	0
1.077	1	1	108	8	1	28	2196	0	0
1.078	1	1	108	9	1	28	2196	0	0
1.079	1	1	108	10	1	28	2196	0	0
1.08	1	1	109	1	1	28	2196	0	0
1.081	1	1	109	2	1	28	2196	0	0
1.082	1	1	109	3	1	28	2196	0	0
1.126	1	1	113	7	1	28	2196	0	0
1.127	1	1	113	8	1	28	2196	0	0
1.128	1	1	113	9	1	28	2196	0	0
1.129	1	1	113	10	1	28	2196	0	0
1.13	1	1	114	1	1	28	2196	0	0
1.131	1	1	114	2	1	28	2196	0	0
1.132	1	1	114	3	1	28	2196	0	0
1.133	1	1	114	4	1	28	2196	0	0
1.134	1	1	114	5	1	28	2196	0	0
1.135	1	1	114	6	1	28	2196	0	0
1.136	1	1	114	7	1	28	2196	0	0
1.137	1	1	114	8	1	28	2196	0	0
1.138	1	1	114	9	1	28	2196	0	0
1.139	1	1	114	10	1	28	2196	0	0
1.14	1	1	115	1	1	28	2196	0	0
1.141	1	1	115	2	1	28	2196	0	0
1.142	1	1	115	3	1	28	2196	0	0
1.181	1	1	119	2	1	28	2196	0	0
1.182	1	1	119	3	1	28	2196	0	0
1.183	1	1	119	4	1	28	2196	0	0
1.184	1	1	119	5	1	28	2196	0	0
1.185	1	1	119	6	1	28	2196	0	0
1.186	1	1	119	7	1	28	2196	0	0
1.187	1	1	119	8	1	28	2196	0	0
1.188	1	1	119	9	1	28	2196	0	0
1.189	1	1	119	10	1	28	2196	0	0
